,timestep,samples,flow,density,velocity
421,1500,300,2147.9976,24.216639999999998,88.47554400000001
422,1800,300,2219.9976,21.91574,101.04129
431,4500,300,2340.0,20.845090000000003,114.408018
434,5400,300,2467.2024,19.97926,123.180912
435,5700,300,2301.6024,23.660700000000002,97.031088
442,7800,300,2344.8024000000005,22.558130000000002,103.68329400000002
443,8100,300,2304.0,23.00235,99.911232
447,9300,300,2412.0,21.22148,113.37316200000001
452,1800,300,2196.0,26.1478,89.870148
456,3000,300,2236.8023999999996,24.38821,91.48712400000002
460,4200,300,2280.0024,21.164289999999998,107.46
465,5700,300,2219.9976,22.89063,96.738786
469,6900,300,2232.0,21.98756,101.258694
473,8100,300,2248.7976000000003,25.67831,87.35666400000001
478,9600,300,2172.0024000000003,25.44024,85.164858
481,1500,300,2183.9975999999997,22.81482,103.53760199999999
485,2700,300,2349.5976,22.684479999999997,103.317066
486,3000,300,2124.0000000000005,29.36507,73.25694000000001
490,4200,300,2227.1976,21.59787,105.02071200000002
491,4500,300,2164.8024,23.123379999999997,95.21242200000002
494,5400,300,2183.9975999999997,22.00485,103.15782
495,5700,300,2172.0024000000003,25.12902,87.76641599999999
498,6600,300,2304.0,21.71757,105.823098
499,6900,300,2193.6024,25.49344,92.24901
503,8100,300,2097.5976,27.88611,81.512838
508,9600,300,2219.9976,25.574569999999998,86.58684000000001
509,9900,300,2147.9976,25.17956,91.540584
511,1500,300,2176.7976000000003,23.12604,95.729418
512,1800,300,2294.4024,22.40784,102.136842
515,2700,300,1992.0024,30.92383,65.190366
516,3000,300,2402.4024,20.43678,117.25711199999999
519,3900,300,2244.0024000000003,23.485139999999998,99.04815
520,4200,300,2196.0,20.91159,104.754114
524,5400,300,2078.4024,26.33533,78.724008
525,5700,300,2263.1976000000004,25.30192,89.22312
529,6900,300,2196.0,24.35762,89.92917
530,7200,300,2136.0024000000003,26.381880000000002,88.171686
534,8400,300,2236.8023999999996,25.821949999999998,91.09891800000001
535,8700,300,2107.2024,35.97783,58.422114
536,9000,300,2316.0024000000003,20.44875,112.97469600000001
539,9900,300,2268.0,20.46338,110.554308
541,1500,300,2183.9975999999997,26.36592,84.038256
542,1800,300,2023.2000000000003,33.41758,63.775079999999996
545,2700,300,2450.3976,21.16296,120.545334
546,3000,300,1833.6024000000002,34.11317,59.83821
547,3300,300,2409.6023999999998,20.95149,114.717708
550,4200,300,2039.9976,25.223450000000003,80.676
